Order ID,Product ID,Customer ID,Date,Quantity,Price,Sales Amount
O001,P001,C001,2023-01-01,1,100,100
O002,P002,C002,2023-03-01,2,200,400
O003,P003,C003,2023-05-01,3,300,900
O004,P004,C004,2023-07-01,4,400,1600
O005,P005,C005,2023-09-01,5,500,2500
O006,P006,C006,2023-11-01,1,600,600
O017,P007,C007,2023-02-02,2,700,1400
O018,P008,C008,2023-04-02,3,800,2400
O019,P009,C009,2023-06-02,4,900,3600
O020,P010,C010,2023-08-02,5,1000,5000
O021,P001,C001,2023-10-02,1,100,100
O022,P002,C002,2023-12-02,2,200,400
O031,P001,C001,2023-02-03,1,100,100
O032,P002,C002,2023-04-03,2,200,400
O033,P003,C003,2023-06-03,3,300,900
O034,P004,C004,2023-08-03,4,400,1600
O035,P005,C005,2023-10-03,5,500,2500
O036,P006,C006,2023-12-03,1,600,600
O046,P006,C006,2023-01-04,1,600,600
O047,P007,C007,2023-03-04,2,700,1400
O048,P008,C008,2023-05-04,3,800,2400
O049,P009,C009,2023-07-04,4,900,3600
O050,P010,C010,2023-09-04,5,1000,5000
O051,P001,C001,2023-11-04,1,100,100
O061,P001,C001,2023-01-05,1,100,100
O062,P002,C002,2023-03-05,2,200,400
O063,P003,C003,2023-05-05,3,300,900
O064,P004,C004,2023-07-05,4,400,1600
O065,P005,C005,2023-09-05,5,500,2500
O066,P006,C006,2023-11-05,1,600,600
O077,P007,C007,2023-02-06,2,700,1400
O078,P008,C008,2023-04-06,3,800,2400
O079,P009,C009,2023-06-06,4,900,3600
O080,P010,C010,2023-08-06,5,1000,5000
O081,P001,C001,2023-10-06,1,100,100
O082,P002,C002,2023-12-06,2,200,400
O092,P002,C002,2023-02-07,2,200,400
O093,P003,C003,2023-04-07,3,300,900
O094,P004,C004,2023-06-07,4,400,1600
O095,P005,C005,2023-08-07,5,500,2500
O096,P006,C006,2023-10-07,1,600,600
O097,P007,C007,2023-12-07,2,700,1400
O107,P007,C007,2023-01-08,2,700,1400
O108,P008,C008,2023-03-08,3,800,2400
O109,P009,C009,2023-05-08,4,900,3600
O110,P010,C010,2023-07-08,5,1000,5000
O111,P001,C001,2023-09-08,1,100,100
O112,P002,C002,2023-11-08,2,200,400
O123,P003,C003,2023-02-09,3,300,900
O124,P004,C004,2023-04-09,4,400,1600
O125,P005,C005,2023-06-09,5,500,2500
O126,P006,C006,2023-08-09,1,600,600
O127,P007,C007,2023-10-09,2,700,1400
O128,P008,C008,2023-12-09,3,800,2400
O138,P008,C008,2023-02-10,3,800,2400
O139,P009,C009,2023-04-10,4,900,3600
O140,P010,C010,2023-06-10,5,1000,5000
O141,P001,C001,2023-08-10,1,100,100
O142,P002,C002,2023-10-10,2,200,400
O143,P003,C003,2023-12-10,3,300,900
O153,P003,C003,2023-01-11,3,300,900
O154,P004,C004,2023-03-11,4,400,1600
O155,P005,C005,2023-05-11,5,500,2500
O156,P006,C006,2023-07-11,1,600,600
O157,P007,C007,2023-09-11,2,700,1400
O158,P008,C008,2023-11-11,3,800,2400
O168,P008,C008,2023-01-12,3,800,2400
O169,P009,C009,2023-03-12,4,900,3600
O170,P010,C010,2023-05-12,5,1000,5000
O171,P001,C001,2023-07-12,1,100,100
O172,P002,C002,2023-09-12,2,200,400
O173,P003,C003,2023-11-12,3,300,900
O184,P004,C004,2024-02-01,4,400,1600
O185,P005,C005,2024-04-01,5,500,2500
O186,P006,C006,2024-06-01,1,600,600
O187,P007,C007,2024-08-01,2,700,1400
O188,P008,C008,2024-10-01,3,800,2400
O189,P009,C009,2024-12-01,4,900,3600
O199,P009,C009,2024-01-02,4,900,3600
O200,P010,C010,2024-03-02,5,1000,5000
